member_casual,rideable_type,day_of_week,month,hour_of_day,total_rides,avg_ride_length_minutes
member,electric_bike,5,12,10,204,7.31
casual,electric_bike,6,12,5,17,6.47
casual,electric_bike,6,12,11,86,7.34
member,electric_bike,7,12,3,25,9.32
casual,electric_bike,7,12,20,62,10.08
member,classic_bike,1,12,23,36,38.17
casual,electric_bike,4,12,15,165,11.58
casual,electric_bike,4,12,16,190,9.13
casual,electric_bike,5,12,8,110,7.5
member,electric_bike,6,12,1,25,9.72
member,electric_bike,7,12,10,234,9.8
casual,classic_bike,7,12,17,99,55.54
casual,classic_bike,7,12,22,59,16.37
member,electric_bike,1,12,11,137,8.41
member,classic_bike,1,12,19,113,18.71
member,electric_bike,5,12,16,614,9.55
casual,classic_bike,6,12,12,70,26.03
casual,electric_bike,7,12,5,13,4.23
casual,electric_bike,1,12,2,25,6.4
casual,classic_bike,6,1,21,46,12.65
casual,electric_bike,2,1,12,53,8.32
casual,electric_bike,4,1,22,30,7.77
member,classic_bike,7,1,7,88,14.07
casual,classic_bike,4,1,18,82,10.15
member,classic_bike,7,1,6,46,10.3
casual,electric_bike,1,1,11,76,6.89
casual,classic_bike,2,1,8,42,14.19
casual,classic_bike,2,1,11,34,14.26
member,electric_bike,7,2,18,220,7.97
member,classic_bike,7,2,22,104,8.96
casual,classic_bike,6,2,16,132,17.39
casual,electric_bike,1,2,0,47,11.23
member,electric_bike,1,2,21,123,8.97
casual,electric_bike,4,2,7,101,6.28
member,classic_bike,7,2,23,91,10.23
casual,electric_bike,2,2,7,100,5.29
casual,electric_bike,2,2,11,74,8.61
casual,classic_bike,2,3,7,103,11.94
casual,electric_bike,6,3,13,403,18.01
casual,electric_bike,7,3,10,318,14.69
member,electric_bike,3,3,3,12,11.0
casual,electric_bike,3,3,8,250,8.97
member,electric_bike,5,3,23,132,10.35
casual,electric_bike,6,3,1,32,8.0
casual,electric_bike,2,3,22,117,11.62
member,classic_bike,3,3,4,24,12.04
casual,electric_bike,5,3,14,179,13.53
member,classic_bike,6,3,5,83,10.63
casual,electric_bike,4,3,23,43,6.47
casual,classic_bike,5,3,9,103,16.96
member,classic_bike,5,3,11,416,9.66
member,classic_bike,7,3,6,89,9.72
casual,classic_bike,1,3,0,73,30.44
casual,classic_bike,1,3,17,311,23.48
member,classic_bike,5,4,0,59,11.81
casual,electric_bike,5,4,9,206,9.87
member,classic_bike,5,4,23,142,10.24
member,electric_bike,2,4,1,28,10.5
casual,electric_bike,4,4,5,49,5.94
casual,classic_bike,5,4,15,331,29.8
casual,electric_bike,6,4,21,169,10.0
member,classic_bike,2,4,4,26,11.19
member,electric_bike,4,4,1,28,8.82
casual,electric_bike,4,4,18,346,11.5
member,electric_bike,5,4,5,152,9.76
casual,classic_bike,6,4,10,280,32.0
casual,classic_bike,3,4,20,252,18.31
casual,classic_bike,5,4,10,214,36.94
casual,electric_bike,6,4,2,23,10.57
casual,electric_bike,1,4,23,78,12.45
casual,classic_bike,2,4,19,404,28.33
casual,electric_bike,4,5,21,210,12.81
member,electric_bike,1,5,0,191,9.95
member,classic_bike,2,5,23,120,12.7
member,electric_bike,3,5,0,50,13.16
casual,classic_bike,3,5,21,248,25.26
casual,classic_bike,4,5,13,320,25.94
casual,classic_bike,5,5,11,393,27.45
casual,classic_bike,5,5,20,337,24.6
member,classic_bike,6,5,1,88,29.18
casual,classic_bike,4,5,14,286,26.36
member,electric_bike,5,5,4,41,6.95
casual,classic_bike,5,5,5,35,17.43
casual,classic_bike,6,5,5,49,26.41
casual,classic_bike,7,5,6,81,43.54
casual,electric_bike,2,6,9,318,14.37
casual,electric_bike,1,6,3,106,12.34
casual,classic_bike,1,6,9,830,32.67
casual,electric_bike,4,6,9,226,14.04
casual,classic_bike,6,6,20,793,27.29
casual,electric_bike,6,6,22,495,15.64
member,electric_bike,7,6,4,37,9.89
casual,classic_bike,4,6,10,370,36.9
casual,classic_bike,4,6,15,423,28.15
casual,electric_bike,6,6,0,205,15.12
casual,classic_bike,7,6,6,129,31.75
casual,classic_bike,1,6,2,252,19.16
member,classic_bike,2,6,0,89,13.24
casual,classic_bike,7,7,8,483,36.04
member,classic_bike,2,7,22,361,13.11
casual,classic_bike,5,7,5,72,27.21
member,classic_bike,6,7,3,31,12.97
casual,classic_bike,1,7,4,63,28.87
casual,classic_bike,2,7,14,721,36.21
casual,electric_bike,2,7,2,60,14.1
casual,classic_bike,6,8,7,366,22.73
casual,electric_bike,2,8,21,291,15.92
casual,electric_bike,3,8,3,23,8.35
member,classic_bike,4,8,22,479,16.18
casual,classic_bike,6,8,6,200,22.04
casual,classic_bike,1,8,9,1007,38.37
casual,classic_bike,4,8,1,54,48.8
casual,electric_bike,5,8,12,636,18.67
casual,classic_bike,7,8,8,644,31.34
casual,classic_bike,2,8,14,722,34.1
casual,classic_bike,5,8,6,130,15.91
casual,classic_bike,4,9,19,516,18.92
casual,classic_bike,3,9,5,56,9.55
casual,electric_bike,2,9,5,91,7.81
casual,classic_bike,2,9,0,206,28.84
casual,classic_bike,1,9,7,202,55.95
casual,electric_bike,4,10,0,106,10.49
member,electric_bike,1,10,1,130,10.5
casual,electric_bike,1,10,8,324,17.59
member,electric_bike,2,10,2,23,10.26
casual,classic_bike,2,10,6,88,30.68
casual,electric_bike,2,10,0,101,10.34
casual,classic_bike,2,10,20,193,16.82
member,classic_bike,3,10,2,9,14.44
casual,classic_bike,4,10,7,237,15.36
casual,classic_bike,6,10,21,338,22.51
casual,electric_bike,7,10,3,102,12.34
casual,electric_bike,1,10,7,256,14.36
casual,electric_bike,7,11,23,202,10.07
casual,classic_bike,2,11,13,182,20.97
member,electric_bike,3,11,0,53,7.92
casual,electric_bike,3,11,10,123,12.26
casual,classic_bike,4,11,10,114,23.8
casual,classic_bike,4,11,13,139,34.63
casual,classic_bike,4,11,14,178,27.89
casual,classic_bike,5,11,7,99,11.97
casual,electric_bike,6,11,22,202,8.93
casual,electric_bike,3,11,1,18,9.28
casual,electric_bike,7,11,19,216,10.91
member,classic_bike,1,11,5,52,12.9
casual,electric_bike,2,11,21,145,11.46
member,electric_bike,7,11,4,44,9.7
member,electric_bike,3,11,23,102,9.27
casual,classic_bike,6,11,6,39,10.72
casual,classic_bike,4,12,21,38,28.16
casual,electric_bike,6,12,20,50,9.6
casual,electric_bike,2,12,16,143,8.34
member,electric_bike,2,12,22,86,10.48
casual,classic_bike,5,12,19,46,16.22
member,classic_bike,7,12,4,10,8.6
casual,electric_bike,7,12,18,118,10.27
casual,electric_bike,1,12,9,23,6.57
casual,classic_bike,3,12,14,105,20.74
casual,classic_bike,7,12,23,61,12.33
member,classic_bike,2,12,6,186,11.75
casual,electric_bike,2,12,14,105,11.58
casual,electric_bike,3,12,21,47,12.53
member,electric_bike,1,12,5,7,15.0
member,electric_bike,6,1,0,41,5.76
casual,electric_bike,2,1,19,51,6.57
casual,classic_bike,3,1,12,45,18.71
casual,classic_bike,5,1,9,58,21.57
casual,electric_bike,2,1,0,15,7.33
casual,electric_bike,3,1,20,30,7.63
casual,classic_bike,1,2,18,55,16.18
casual,classic_bike,2,2,17,100,17.04
casual,electric_bike,6,2,4,7,7.71
member,electric_bike,7,2,5,13,5.85
casual,classic_bike,2,2,19,49,11.61
casual,electric_bike,4,2,5,23,8.48
member,electric_bike,6,2,5,87,5.68
member,classic_bike,1,2,3,8,9.0
casual,classic_bike,7,2,10,86,13.16
casual,classic_bike,4,2,19,52,15.73
casual,classic_bike,5,2,10,38,15.84
casual,electric_bike,7,3,3,34,9.79
member,classic_bike,1,3,4,27,10.63
member,electric_bike,6,3,22,265,10.72
casual,classic_bike,7,3,21,167,19.28
casual,electric_bike,1,3,20,105,10.04
casual,classic_bike,3,3,12,155,27.95
casual,classic_bike,1,3,19,147,18.27
casual,classic_bike,3,3,19,193,23.56
casual,electric_bike,6,3,10,192,14.55
casual,classic_bike,2,3,18,431,24.58
casual,classic_bike,5,3,21,111,35.67
member,electric_bike,6,3,0,79,9.29
casual,classic_bike,2,3,11,161,20.83
casual,electric_bike,5,4,4,12,5.83
member,classic_bike,6,4,0,89,10.03
casual,electric_bike,7,4,9,211,13.53
casual,classic_bike,1,4,20,158,21.58
casual,electric_bike,6,4,4,19,7.95
casual,classic_bike,2,4,23,58,16.64
casual,classic_bike,2,5,14,636,31.15
member,electric_bike,6,5,2,53,9.89
member,electric_bike,6,5,4,46,9.35
member,classic_bike,7,5,3,36,10.61
casual,electric_bike,4,5,4,18,5.61
casual,classic_bike,5,5,8,293,15.04
casual,classic_bike,2,5,10,395,32.72
member,classic_bike,1,6,5,99,19.98
casual,electric_bike,2,6,21,479,16.38
member,electric_bike,3,6,22,324,10.7
casual,classic_bike,7,6,5,63,25.43
casual,classic_bike,7,6,7,246,28.97
casual,classic_bike,3,7,2,42,19.38
member,electric_bike,5,7,4,46,10.33
casual,electric_bike,6,7,0,229,12.69
casual,electric_bike,1,7,3,112,12.39
casual,classic_bike,2,7,10,502,42.59
casual,electric_bike,4,7,2,63,14.46
casual,classic_bike,3,7,4,23,17.04
casual,electric_bike,5,8,0,148,13.14
casual,electric_bike,5,8,23,311,18.54
casual,classic_bike,7,8,6,136,34.6
casual,classic_bike,7,8,5,63,54.33
member,electric_bike,5,8,4,38,7.39
member,classic_bike,1,8,5,91,21.76
casual,classic_bike,5,9,10,355,31.18
member,electric_bike,1,9,4,45,9.71
casual,classic_bike,2,9,23,388,26.02
casual,classic_bike,4,9,23,121,29.11
casual,classic_bike,3,9,6,132,21.08
casual,electric_bike,5,9,4,34,9.5
casual,electric_bike,1,10,20,316,11.6
casual,classic_bike,1,10,22,157,15.21
casual,classic_bike,7,10,9,652,34.61
casual,classic_bike,7,11,11,538,27.29
casual,classic_bike,2,11,1,10,13.8
member,electric_bike,7,11,2,135,9.44
casual,electric_bike,2,11,2,26,12.88
casual,classic_bike,7,11,6,40,48.2
casual,electric_bike,2,12,13,86,9.29
casual,electric_bike,4,12,13,123,10.93
casual,classic_bike,5,12,17,96,19.32
member,electric_bike,1,12,6,43,8.74
member,classic_bike,1,12,22,54,51.07
casual,classic_bike,2,12,9,29,9.59
casual,electric_bike,4,12,10,63,8.67
casual,classic_bike,6,12,22,30,15.2
casual,classic_bike,1,12,3,13,40.38
casual,electric_bike,5,1,3,8,6.88
casual,classic_bike,1,1,22,6,9.5
member,classic_bike,3,1,4,16,6.69
casual,classic_bike,2,1,7,29,7.07
casual,classic_bike,4,1,5,11,54.73
casual,classic_bike,7,2,15,117,22.79
casual,electric_bike,4,2,11,72,7.56
casual,electric_bike,6,2,21,45,8.36
member,classic_bike,6,2,23,85,9.45
casual,classic_bike,7,3,4,13,33.85
casual,classic_bike,1,3,12,410,23.87
casual,classic_bike,3,3,0,19,16.32
casual,electric_bike,1,3,6,41,9.93
casual,classic_bike,2,4,12,328,35.24
casual,classic_bike,1,4,8,143,33.34
casual,classic_bike,1,5,21,194,32.56
casual,classic_bike,2,5,3,18,11.72
casual,classic_bike,1,5,2,66,18.42
casual,classic_bike,5,5,6,106,19.61
casual,electric_bike,1,5,3,49,8.22
casual,classic_bike,2,5,1,32,28.88
casual,classic_bike,3,5,4,11,14.45
casual,electric_bike,4,6,4,21,7.52
member,classic_bike,5,6,3,12,55.67
casual,electric_bike,5,6,0,139,14.44
member,electric_bike,6,7,2,36,9.86
member,electric_bike,7,7,4,44,11.61
member,classic_bike,1,7,5,73,25.07
casual,classic_bike,4,7,3,33,36.94
casual,classic_bike,5,8,5,80,16.07
member,classic_bike,2,9,4,44,11.84
casual,classic_bike,4,9,22,208,15.88
casual,classic_bike,6,9,1,77,22.61
casual,classic_bike,5,10,4,16,27.81
casual,electric_bike,5,10,3,31,10.87
casual,classic_bike,4,11,16,211,15.75
casual,classic_bike,5,11,6,50,13.42
member,electric_bike,6,11,4,27,6.7
member,classic_bike,7,12,21,110,10.85
member,classic_bike,1,12,12,176,14.18
casual,classic_bike,6,12,0,31,14.39
member,classic_bike,3,12,23,70,18.51
casual,classic_bike,7,12,12,99,25.58
casual,classic_bike,7,12,19,90,18.27
casual,classic_bike,1,12,15,78,17.38
casual,classic_bike,3,12,10,46,21.5
casual,classic_bike,4,1,11,75,12.83
casual,classic_bike,2,1,20,17,14.06
casual,classic_bike,5,1,4,5,8.0
casual,classic_bike,6,1,9,50,8.6
casual,classic_bike,2,1,18,39,49.85
member,electric_bike,4,1,4,17,7.71
member,electric_bike,5,1,0,19,4.42
casual,electric_bike,2,2,18,110,8.85
casual,electric_bike,3,2,23,27,6.7
casual,electric_bike,4,2,20,61,7.07
member,classic_bike,5,2,0,13,9.15
casual,classic_bike,5,2,16,114,19.76
casual,classic_bike,5,2,15,74,17.28
casual,classic_bike,7,2,14,117,28.79
casual,classic_bike,1,2,5,3,4.0
casual,classic_bike,1,3,23,34,39.29
member,classic_bike,4,3,3,4,16.5
casual,electric_bike,5,3,3,9,10.11
casual,classic_bike,4,3,11,144,20.24
member,electric_bike,2,3,2,12,9.58
casual,electric_bike,5,4,21,159,10.98
member,electric_bike,1,4,2,56,10.7
casual,classic_bike,1,4,6,40,16.85
member,classic_bike,1,4,1,98,13.79
casual,classic_bike,7,5,5,36,35.47
casual,classic_bike,6,7,5,71,21.32
member,classic_bike,7,7,1,129,12.14
casual,electric_bike,4,7,4,36,11.11
casual,electric_bike,2,8,4,39,7.92
member,classic_bike,7,8,3,77,15.42
member,classic_bike,2,9,2,25,8.24
casual,electric_bike,6,9,4,47,7.43
casual,classic_bike,6,9,10,489,37.87
casual,classic_bike,1,9,8,347,41.29
member,classic_bike,1,10,2,74,21.0
casual,classic_bike,3,10,22,78,13.91
casual,classic_bike,7,10,4,37,13.14
casual,classic_bike,2,11,10,114,27.68
casual,electric_bike,2,12,3,7,10.86
casual,classic_bike,3,12,13,82,21.39
casual,electric_bike,4,12,1,25,7.36
casual,classic_bike,5,12,0,14,7.21
casual,electric_bike,3,12,2,16,16.38
casual,electric_bike,7,12,6,16,5.06
casual,classic_bike,6,1,4,6,6.0
casual,electric_bike,1,1,6,14,6.29
member,classic_bike,1,1,2,14,7.86
casual,classic_bike,1,1,17,40,12.88
casual,classic_bike,3,1,19,28,10.79
casual,electric_bike,2,2,8,110,6.16
casual,classic_bike,2,2,22,19,40.26
casual,classic_bike,6,2,14,99,16.96
member,classic_bike,1,3,2,40,12.9
member,electric_bike,7,3,23,136,10.02
casual,classic_bike,1,3,22,45,21.8
casual,classic_bike,1,4,5,4,11.0
casual,classic_bike,4,5,1,45,16.44
casual,electric_bike,2,7,4,36,27.19
casual,classic_bike,2,8,1,101,32.96
member,classic_bike,5,8,1,42,14.26
casual,classic_bike,7,9,3,59,36.08
casual,classic_bike,5,9,1,43,24.19
member,classic_bike,5,9,0,71,11.1
casual,classic_bike,4,10,5,46,18.3
casual,classic_bike,4,11,15,187,26.37
casual,classic_bike,5,11,20,102,18.06
casual,classic_bike,6,11,7,82,13.43
member,classic_bike,1,11,7,162,9.89
casual,classic_bike,7,11,7,70,23.06
casual,electric_bike,2,12,10,38,8.63
casual,classic_bike,1,12,14,53,16.09
casual,classic_bike,4,12,9,44,23.02
casual,classic_bike,1,1,12,64,47.8
casual,classic_bike,2,1,6,11,27.36
casual,electric_bike,1,2,23,26,7.58
casual,classic_bike,3,2,7,44,7.91
casual,classic_bike,2,4,22,95,32.94
casual,classic_bike,4,6,1,44,18.36
member,classic_bike,5,7,1,40,9.3
casual,classic_bike,1,8,4,104,24.89
member,electric_bike,2,9,3,33,8.94
member,classic_bike,4,10,1,44,10.86
member,classic_bike,1,10,4,30,9.3
casual,classic_bike,6,10,4,21,7.19
casual,classic_bike,6,10,2,41,10.83
casual,classic_bike,3,11,2,5,34.8
casual,classic_bike,1,11,21,65,26.71
casual,classic_bike,6,12,23,45,10.78
casual,electric_bike,5,12,5,16,5.31
casual,classic_bike,7,1,21,33,13.67
member,electric_bike,5,1,23,70,8.24
casual,electric_bike,7,1,3,19,9.32
casual,classic_bike,5,2,13,62,17.81
member,electric_bike,1,2,2,38,8.45
member,electric_bike,5,3,0,40,7.52
casual,electric_bike,6,3,3,16,6.94
casual,classic_bike,4,3,6,43,14.02
member,electric_bike,2,3,4,31,5.65
casual,classic_bike,2,3,6,36,8.81
member,electric_bike,6,8,4,45,12.0
member,classic_bike,4,9,2,13,13.69
member,electric_bike,2,12,0,31,6.87
casual,electric_bike,4,12,3,9,17.89
member,classic_bike,6,2,0,32,11.44
casual,classic_bike,6,4,1,35,14.6
casual,classic_bike,1,4,7,71,28.63
casual,electric_bike,3,6,3,20,8.1
casual,classic_bike,2,6,3,32,24.25
casual,classic_bike,4,6,3,17,20.35
casual,electric_bike,5,9,2,43,10.33
member,electric_bike,4,10,2,27,11.67
casual,classic_bike,1,11,2,63,9.79
member,electric_bike,1,12,7,29,10.66
casual,electric_bike,6,1,13,100,9.44
casual,classic_bike,7,2,16,87,19.4
casual,classic_bike,3,3,22,57,15.05
casual,classic_bike,3,4,6,78,18.96
casual,classic_bike,4,8,3,21,14.14
member,classic_bike,6,11,1,33,14.09
casual,electric_bike,4,12,14,135,8.37
casual,classic_bike,6,12,17,71,26.51
casual,classic_bike,1,2,11,77,19.6
casual,classic_bike,3,2,20,39,8.36
casual,electric_bike,1,3,7,60,8.57
casual,classic_bike,1,9,5,44,30.95
member,classic_bike,7,11,3,50,30.22
casual,classic_bike,6,11,5,19,6.68
member,classic_bike,3,12,0,25,10.0
casual,classic_bike,3,12,15,111,17.7
casual,classic_bike,3,12,16,104,28.07
casual,classic_bike,2,2,23,6,32.0
member,electric_bike,3,3,1,29,9.34
member,classic_bike,3,9,3,13,15.31
casual,classic_bike,2,10,5,45,23.51
casual,classic_bike,3,2,5,15,11.0
casual,classic_bike,6,4,3,9,16.67
member,classic_bike,5,5,1,34,12.82
casual,electric_bike,4,5,2,29,12.28
member,classic_bike,6,8,3,33,11.61
casual,electric_bike,4,1,19,80,7.67
member,electric_bike,1,4,4,30,8.87
casual,classic_bike,6,2,13,84,18.37
casual,classic_bike,2,7,3,20,88.3
casual,classic_bike,5,9,3,15,12.07
casual,classic_bike,5,10,2,16,77.13
casual,classic_bike,3,8,2,13,18.54
member,electric_bike,6,6,2,34,9.35
casual,electric_bike,2,5,4,17,12.76
casual,classic_bike,5,6,5,60,47.47
casual,classic_bike,1,11,4,26,18.58
member,electric_bike,5,8,2,16,16.06
casual,classic_bike,1,12,13,37,12.78
casual,classic_bike,4,4,0,49,16.78
casual,classic_bike,2,12,2,6,9.17
casual,classic_bike,3,10,23,81,31.99
member,electric_bike,6,12,3,10,10.0
member,classic_bike,2,10,1,31,11.9
member,classic_bike,5,12,4,13,15.62
casual,classic_bike,6,2,3,1,68.0
casual,classic_bike,5,3,4,8,51.88
casual,classic_bike,3,1,22,15,91.93
member,electric_bike,3,1,1,6,9.5
casual,classic_bike,1,1,0,14,11.14
member,classic_bike,2,1,3,7,10.14
member,electric_bike,2,2,3,13,9.0
casual,electric_bike,3,2,22,37,7.32
casual,classic_bike,2,3,5,22,15.55
member,classic_bike,5,5,3,17,8.82
member,classic_bike,6,6,3,22,8.18
member,electric_bike,6,7,4,28,9.18
member,classic_bike,3,10,4,25,8.12
member,classic_bike,7,12,2,36,25.14
casual,classic_bike,3,12,1,12,70.08
casual,electric_bike,7,1,1,34,12.12
casual,electric_bike,4,2,6,58,4.84
casual,classic_bike,6,3,2,15,12.2
member,electric_bike,4,4,3,15,7.2
casual,electric_bike,3,5,3,9,8.67
casual,electric_bike,2,6,4,40,10.0
casual,electric_bike,4,11,2,25,6.68
casual,classic_bike,5,12,22,28,18.61
casual,classic_bike,7,12,0,36,12.58
casual,classic_bike,1,12,16,49,21.18
member,classic_bike,1,1,4,4,13.5
casual,electric_bike,1,2,22,30,11.87
casual,electric_bike,2,2,5,17,5.82
casual,classic_bike,7,2,3,12,11.5
casual,electric_bike,7,4,2,64,9.45
casual,electric_bike,3,7,3,35,11.4
casual,classic_bike,5,1,21,18,9.5
casual,electric_bike,5,2,2,10,9.4
member,electric_bike,1,2,4,15,5.33
casual,classic_bike,1,2,20,31,16.26
member,classic_bike,7,10,5,47,15.21
member,classic_bike,2,10,3,10,8.9
member,electric_bike,1,1,3,14,5.93
member,classic_bike,2,2,4,17,9.41
member,electric_bike,5,5,2,19,9.05
casual,electric_bike,4,8,4,35,8.37
member,classic_bike,1,9,3,56,14.02
member,electric_bike,6,11,2,22,12.09
member,electric_bike,2,1,2,5,10.4
casual,electric_bike,6,1,3,7,6.86
casual,classic_bike,5,1,2,11,34.64
member,electric_bike,3,2,2,5,10.4
member,electric_bike,4,3,4,16,8.75
casual,classic_bike,7,3,2,44,65.14
casual,electric_bike,5,4,2,13,19.15
member,electric_bike,3,4,2,21,9.24
member,classic_bike,5,8,3,18,16.33
casual,classic_bike,1,12,10,28,12.5
casual,electric_bike,1,12,21,25,9.92
casual,classic_bike,1,1,19,24,8.96
casual,classic_bike,5,3,2,3,6.67
casual,classic_bike,7,4,3,19,20.0
member,electric_bike,7,4,5,24,7.67
member,classic_bike,2,4,2,11,11.09
casual,classic_bike,7,11,5,18,60.5
member,electric_bike,2,12,23,51,8.67
casual,electric_bike,7,2,4,9,5.0
casual,classic_bike,4,2,23,8,10.38
casual,classic_bike,3,2,6,17,11.41
member,classic_bike,4,4,2,17,11.82
casual,classic_bike,5,11,5,21,10.52
casual,classic_bike,6,1,2,5,16.0
casual,electric_bike,7,4,4,16,6.0
casual,classic_bike,2,12,21,31,13.87
casual,classic_bike,4,1,20,36,11.75
casual,electric_bike,1,3,5,14,9.14
casual,classic_bike,5,12,23,21,42.62
casual,classic_bike,1,2,6,2,7.5
casual,classic_bike,7,1,2,13,13.15
casual,classic_bike,5,4,1,11,13.73
casual,classic_bike,5,4,3,8,15.0
member,classic_bike,3,4,3,9,21.44
member,classic_bike,3,9,1,35,13.06
casual,classic_bike,6,9,3,28,23.82
casual,electric_bike,1,12,4,15,10.87
casual,classic_bike,6,2,10,36,22.17
casual,electric_bike,3,2,0,9,7.56
casual,classic_bike,1,12,1,18,11.61
casual,classic_bike,4,2,22,14,13.5
casual,electric_bike,2,5,2,32,10.63
casual,classic_bike,3,5,2,7,12.43
casual,classic_bike,3,8,4,11,15.55
casual,classic_bike,4,5,3,6,36.67
casual,classic_bike,3,1,23,10,98.4
casual,electric_bike,4,6,2,31,12.26
casual,classic_bike,2,12,4,3,30.67
casual,electric_bike,1,1,7,14,8.29
member,electric_bike,2,2,1,8,7.88
casual,classic_bike,5,2,1,1,3.0
member,electric_bike,3,10,3,14,10.36
casual,classic_bike,2,2,0,8,94.88
member,classic_bike,1,4,3,32,13.75
casual,classic_bike,1,5,4,19,22.74
member,classic_bike,5,7,3,10,7.2
casual,electric_bike,4,11,4,16,10.0
member,classic_bike,4,10,3,4,4.25
casual,classic_bike,4,11,1,14,11.79
casual,electric_bike,5,2,4,8,5.87
member,classic_bike,6,11,3,9,11.0
casual,electric_bike,1,1,20,40,8.9
member,classic_bike,3,3,2,8,4.13
casual,classic_bike,4,12,4,6,11.17
member,electric_bike,4,3,2,9,7.11
casual,electric_bike,5,3,1,8,9.0
casual,classic_bike,1,2,7,10,31.7
member,classic_bike,7,3,5,17,17.06
casual,classic_bike,6,2,1,10,9.3
casual,classic_bike,7,1,4,8,7.63
member,classic_bike,3,2,3,3,10.33
casual,classic_bike,3,11,4,6,143.5
casual,classic_bike,4,2,0,5,6.6
casual,electric_bike,3,11,3,4,12.0
casual,classic_bike,1,1,23,4,7.75
casual,electric_bike,2,12,1,11,6.55
member,classic_bike,3,1,2,5,8.6
casual,classic_bike,3,1,0,2,14.0
casual,classic_bike,2,1,5,3,30.0
member,classic_bike,2,3,3,5,7.4
member,classic_bike,4,3,1,10,11.1
member,electric_bike,4,2,3,6,10.5
casual,classic_bike,5,2,3,2,53.0
member,electric_bike,3,1,3,5,6.2
casual,classic_bike,4,11,3,4,5.5
casual,classic_bike,4,3,5,8,10.75
member,electric_bike,5,12,3,6,11.83
member,classic_bike,2,1,1,4,6.75
casual,classic_bike,3,12,3,4,6.75
casual,classic_bike,6,3,4,3,8.0
member,electric_bike,4,1,17,878,8.65
member,classic_bike,4,1,18,580,10.23
member,electric_bike,6,1,15,494,8.65
member,classic_bike,1,1,12,286,10.93
member,classic_bike,1,1,22,46,8.65
member,electric_bike,3,1,20,171,6.71
member,classic_bike,4,1,5,128,7.59
member,electric_bike,6,1,14,353,9.21
member,classic_bike,2,1,7,410,10.2
member,classic_bike,2,1,11,254,9.23
member,classic_bike,3,1,17,753,12.55
member,electric_bike,4,1,12,337,7.74
member,electric_bike,4,1,19,344,7.56
member,classic_bike,6,1,9,310,11.58
member,electric_bike,7,1,13,310,8.2
member,electric_bike,2,1,12,209,6.03
member,electric_bike,2,1,17,613,8.37
member,electric_bike,2,1,23,52,7.52
member,classic_bike,4,1,11,392,9.34
member,classic_bike,5,1,9,539,9.31
member,electric_bike,5,1,15,630,9.7
casual,electric_bike,5,1,18,113,7.12
member,electric_bike,7,1,1,35,7.43
casual,classic_bike,1,1,15,50,19.3
member,electric_bike,1,1,20,90,6.81
member,classic_bike,3,1,12,301,8.89
casual,classic_bike,3,1,14,42,14.5
member,electric_bike,3,1,18,440,8.71
member,classic_bike,4,1,8,763,11.68
member,electric_bike,5,1,10,310,8.56
member,electric_bike,6,1,10,224,10.43
member,classic_bike,6,1,21,178,10.4
member,classic_bike,7,2,16,361,11.6
casual,electric_bike,2,2,4,15,4.07
member,electric_bike,2,2,11,240,7.27
member,classic_bike,2,2,12,450,9.25
member,electric_bike,2,2,20,213,8.05
member,classic_bike,2,2,23,31,13.26
member,classic_bike,3,2,6,317,11.83
member,classic_bike,3,2,8,905,10.35
member,electric_bike,3,2,17,990,9.47
member,electric_bike,4,2,11,224,7.53
member,classic_bike,4,2,12,344,8.15
casual,classic_bike,4,2,14,44,11.2
member,classic_bike,4,2,17,825,11.33
member,electric_bike,5,2,9,389,7.48
member,classic_bike,5,2,10,260,9.37
member,classic_bike,5,2,16,725,11.78
casual,electric_bike,5,2,17,203,8.6
casual,electric_bike,6,2,19,103,8.14
member,electric_bike,7,2,9,229,7.96
member,classic_bike,1,2,7,71,13.21
member,classic_bike,1,2,8,145,9.25
casual,electric_bike,1,2,16,120,10.56
member,classic_bike,2,2,19,390,9.37
member,classic_bike,3,2,20,250,9.72
member,electric_bike,4,2,5,114,6.41
member,classic_bike,5,2,13,347,9.28
member,classic_bike,5,2,14,304,9.79
member,classic_bike,1,2,11,384,10.23
member,electric_bike,3,2,12,295,7.38
member,electric_bike,3,2,22,119,7.51
member,electric_bike,4,2,7,659,7.37
member,classic_bike,5,2,15,471,10.34
member,electric_bike,6,2,2,9,5.56
member,classic_bike,7,2,13,414,10.89
member,electric_bike,1,2,22,111,9.06
member,electric_bike,2,2,7,638,7.88
member,electric_bike,4,2,18,524,9.11
member,classic_bike,6,2,13,430,9.78
member,classic_bike,6,2,15,528,11.02
member,classic_bike,6,2,16,675,11.03
member,classic_bike,7,3,2,42,11.45
casual,classic_bike,1,3,13,472,28.87
member,classic_bike,2,3,7,926,10.68
casual,electric_bike,2,3,16,514,12.92
casual,classic_bike,4,3,4,5,7.4
member,electric_bike,5,3,13,419,8.55
member,electric_bike,6,3,14,683,10.74
casual,classic_bike,6,3,19,495,25.99
member,electric_bike,1,3,8,218,7.62
member,classic_bike,1,3,12,822,12.18
member,classic_bike,2,3,8,1255,10.82
member,classic_bike,2,3,11,540,9.92
casual,electric_bike,2,3,15,402,13.11
member,classic_bike,2,3,18,1433,11.68
member,electric_bike,3,3,6,450,7.43
member,electric_bike,3,3,8,1194,8.65
member,electric_bike,3,3,18,862,9.42
member,classic_bike,4,3,6,422,9.53
member,classic_bike,4,3,8,1235,10.94
member,electric_bike,4,3,17,1010,10.24
